,time,filename,bats_present,confidence
401,401,bat2_24june_2200_newchunks/imgs/chunk401square.png,True,1.0
402,402,bat2_24june_2200_newchunks/imgs/chunk402square.png,True,1.0
403,403,bat2_24june_2200_newchunks/imgs/chunk403square.png,True,0.988281
405,405,bat2_24june_2200_newchunks/imgs/chunk405square.png,True,0.6171880000000001
408,408,bat2_24june_2200_newchunks/imgs/chunk408square.png,True,1.0
409,409,bat2_24june_2200_newchunks/imgs/chunk409square.png,True,1.0
411,411,bat2_24june_2200_newchunks/imgs/chunk411square.png,True,1.0
412,412,bat2_24june_2200_newchunks/imgs/chunk412square.png,True,1.0
413,413,bat2_24june_2200_newchunks/imgs/chunk413square.png,True,1.0
414,414,bat2_24june_2200_newchunks/imgs/chunk414square.png,True,1.0
415,415,bat2_24june_2200_newchunks/imgs/chunk415square.png,True,1.0
417,417,bat2_24june_2200_newchunks/imgs/chunk417square.png,True,0.996094
418,418,bat2_24june_2200_newchunks/imgs/chunk418square.png,True,1.0
419,419,bat2_24june_2200_newchunks/imgs/chunk419square.png,True,0.996094
422,422,bat2_24june_2200_newchunks/imgs/chunk422square.png,True,1.0
423,423,bat2_24june_2200_newchunks/imgs/chunk423square.png,True,1.0
424,424,bat2_24june_2200_newchunks/imgs/chunk424square.png,True,1.0
427,427,bat2_24june_2200_newchunks/imgs/chunk427square.png,True,0.996094
428,428,bat2_24june_2200_newchunks/imgs/chunk428square.png,True,1.0
430,430,bat2_24june_2200_newchunks/imgs/chunk430square.png,True,0.917969
431,431,bat2_24june_2200_newchunks/imgs/chunk431square.png,True,0.996094
432,432,bat2_24june_2200_newchunks/imgs/chunk432square.png,True,1.0
434,434,bat2_24june_2200_newchunks/imgs/chunk434square.png,True,1.0
437,437,bat2_24june_2200_newchunks/imgs/chunk437square.png,True,1.0
438,438,bat2_24june_2200_newchunks/imgs/chunk438square.png,True,1.0
439,439,bat2_24june_2200_newchunks/imgs/chunk439square.png,True,1.0
440,440,bat2_24june_2200_newchunks/imgs/chunk440square.png,True,1.0
441,441,bat2_24june_2200_newchunks/imgs/chunk441square.png,True,0.96875
443,443,bat2_24june_2200_newchunks/imgs/chunk443square.png,True,0.6171880000000001
444,444,bat2_24june_2200_newchunks/imgs/chunk444square.png,True,0.980469
445,445,bat2_24june_2200_newchunks/imgs/chunk445square.png,True,0.875
446,446,bat2_24june_2200_newchunks/imgs/chunk446square.png,True,1.0
447,447,bat2_24june_2200_newchunks/imgs/chunk447square.png,True,1.0
448,448,bat2_24june_2200_newchunks/imgs/chunk448square.png,True,0.6171880000000001
451,451,bat2_24june_2200_newchunks/imgs/chunk451square.png,True,1.0
452,452,bat2_24june_2200_newchunks/imgs/chunk452square.png,True,1.0
456,456,bat2_24june_2200_newchunks/imgs/chunk456square.png,True,1.0
457,457,bat2_24june_2200_newchunks/imgs/chunk457square.png,True,1.0
460,460,bat2_24june_2200_newchunks/imgs/chunk460square.png,True,1.0
462,462,bat2_24june_2200_newchunks/imgs/chunk462square.png,True,0.980469
467,467,bat2_24june_2200_newchunks/imgs/chunk467square.png,True,1.0
468,468,bat2_24june_2200_newchunks/imgs/chunk468square.png,True,0.949219
469,469,bat2_24june_2200_newchunks/imgs/chunk469square.png,True,1.0
470,470,bat2_24june_2200_newchunks/imgs/chunk470square.png,True,1.0
471,471,bat2_24june_2200_newchunks/imgs/chunk471square.png,True,1.0
474,474,bat2_24june_2200_newchunks/imgs/chunk474square.png,True,0.992188
475,475,bat2_24june_2200_newchunks/imgs/chunk475square.png,True,1.0
477,477,bat2_24june_2200_newchunks/imgs/chunk477square.png,True,1.0
480,480,bat2_24june_2200_newchunks/imgs/chunk480square.png,True,0.949219
481,481,bat2_24june_2200_newchunks/imgs/chunk481square.png,True,1.0
482,482,bat2_24june_2200_newchunks/imgs/chunk482square.png,True,1.0
483,483,bat2_24june_2200_newchunks/imgs/chunk483square.png,True,0.988281
484,484,bat2_24june_2200_newchunks/imgs/chunk484square.png,True,0.949219
487,487,bat2_24june_2200_newchunks/imgs/chunk487square.png,True,0.722656
488,488,bat2_24june_2200_newchunks/imgs/chunk488square.png,True,0.988281
490,490,bat2_24june_2200_newchunks/imgs/chunk490square.png,True,0.6171880000000001
492,492,bat2_24june_2200_newchunks/imgs/chunk492square.png,True,1.0
494,494,bat2_24june_2200_newchunks/imgs/chunk494square.png,True,1.0
495,495,bat2_24june_2200_newchunks/imgs/chunk495square.png,True,1.0
497,497,bat2_24june_2200_newchunks/imgs/chunk497square.png,True,1.0
499,499,bat2_24june_2200_newchunks/imgs/chunk499square.png,True,0.996094
501,501,bat2_24june_2200_newchunks/imgs/chunk501square.png,True,1.0
503,503,bat2_24june_2200_newchunks/imgs/chunk503square.png,True,0.722656
504,504,bat2_24june_2200_newchunks/imgs/chunk504square.png,True,1.0
508,508,bat2_24june_2200_newchunks/imgs/chunk508square.png,True,0.980469
509,509,bat2_24june_2200_newchunks/imgs/chunk509square.png,True,1.0
510,510,bat2_24june_2200_newchunks/imgs/chunk510square.png,True,0.992188
511,511,bat2_24june_2200_newchunks/imgs/chunk511square.png,True,1.0
522,522,bat2_24june_2200_newchunks/imgs/chunk522square.png,True,0.996094
532,532,bat2_24june_2200_newchunks/imgs/chunk532square.png,True,1.0
533,533,bat2_24june_2200_newchunks/imgs/chunk533square.png,True,1.0
534,534,bat2_24june_2200_newchunks/imgs/chunk534square.png,True,1.0
535,535,bat2_24june_2200_newchunks/imgs/chunk535square.png,True,0.722656
541,541,bat2_24june_2200_newchunks/imgs/chunk541square.png,True,0.949219
557,557,bat2_24june_2200_newchunks/imgs/chunk557square.png,True,0.722656
565,565,bat2_24june_2200_newchunks/imgs/chunk565square.png,True,0.980469
723,723,bat2_24june_2200_newchunks/imgs/chunk723square.png,True,0.6171880000000001
790,790,bat2_24june_2200_newchunks/imgs/chunk790square.png,True,0.988281
853,853,bat2_24june_2200_newchunks/imgs/chunk853square.png,True,1.0
958,958,bat2_24june_2200_newchunks/imgs/chunk958square.png,True,0.949219
986,986,bat2_24june_2200_newchunks/imgs/chunk986square.png,True,0.917969
987,987,bat2_24june_2200_newchunks/imgs/chunk987square.png,True,0.917969
988,988,bat2_24june_2200_newchunks/imgs/chunk988square.png,True,0.949219
993,993,bat2_24june_2200_newchunks/imgs/chunk993square.png,True,0.988281
994,994,bat2_24june_2200_newchunks/imgs/chunk994square.png,True,0.6171880000000001
998,998,bat2_24june_2200_newchunks/imgs/chunk998square.png,True,0.6171880000000001
1004,1004,bat2_24june_2200_newchunks/imgs/chunk1004square.png,True,1.0
1006,1006,bat2_24june_2200_newchunks/imgs/chunk1006square.png,True,0.992188
1007,1007,bat2_24june_2200_newchunks/imgs/chunk1007square.png,True,0.722656
1012,1012,bat2_24june_2200_newchunks/imgs/chunk1012square.png,True,1.0
1013,1013,bat2_24june_2200_newchunks/imgs/chunk1013square.png,True,1.0
1014,1014,bat2_24june_2200_newchunks/imgs/chunk1014square.png,True,1.0
1015,1015,bat2_24june_2200_newchunks/imgs/chunk1015square.png,True,1.0
1061,1061,bat2_24june_2200_newchunks/imgs/chunk1061square.png,True,1.0
1062,1062,bat2_24june_2200_newchunks/imgs/chunk1062square.png,True,1.0
1063,1063,bat2_24june_2200_newchunks/imgs/chunk1063square.png,True,1.0
1064,1064,bat2_24june_2200_newchunks/imgs/chunk1064square.png,True,1.0
1065,1065,bat2_24june_2200_newchunks/imgs/chunk1065square.png,True,1.0
1066,1066,bat2_24june_2200_newchunks/imgs/chunk1066square.png,True,1.0
1067,1067,bat2_24june_2200_newchunks/imgs/chunk1067square.png,True,1.0
1068,1068,bat2_24june_2200_newchunks/imgs/chunk1068square.png,True,0.980469
1071,1071,bat2_24june_2200_newchunks/imgs/chunk1071square.png,True,0.875
1073,1073,bat2_24june_2200_newchunks/imgs/chunk1073square.png,True,1.0
1076,1076,bat2_24june_2200_newchunks/imgs/chunk1076square.png,True,1.0
1077,1077,bat2_24june_2200_newchunks/imgs/chunk1077square.png,True,1.0
1078,1078,bat2_24june_2200_newchunks/imgs/chunk1078square.png,True,1.0
1079,1079,bat2_24june_2200_newchunks/imgs/chunk1079square.png,True,1.0
1080,1080,bat2_24june_2200_newchunks/imgs/chunk1080square.png,True,0.980469
1081,1081,bat2_24june_2200_newchunks/imgs/chunk1081square.png,True,1.0
1082,1082,bat2_24june_2200_newchunks/imgs/chunk1082square.png,True,1.0
1084,1084,bat2_24june_2200_newchunks/imgs/chunk1084square.png,True,1.0
1085,1085,bat2_24june_2200_newchunks/imgs/chunk1085square.png,True,1.0
1087,1087,bat2_24june_2200_newchunks/imgs/chunk1087square.png,True,1.0
1088,1088,bat2_24june_2200_newchunks/imgs/chunk1088square.png,True,1.0
1089,1089,bat2_24june_2200_newchunks/imgs/chunk1089square.png,True,1.0
1165,1165,bat2_24june_2200_newchunks/imgs/chunk1165square.png,True,0.875
1199,1199,bat2_24june_2200_newchunks/imgs/chunk1199square.png,True,1.0
1246,1246,bat2_24june_2200_newchunks/imgs/chunk1246square.png,True,0.949219
1321,1321,bat2_24june_2200_newchunks/imgs/chunk1321square.png,True,1.0
1322,1322,bat2_24june_2200_newchunks/imgs/chunk1322square.png,True,0.949219
1326,1326,bat2_24june_2200_newchunks/imgs/chunk1326square.png,True,1.0
1328,1328,bat2_24june_2200_newchunks/imgs/chunk1328square.png,True,0.980469
1329,1329,bat2_24june_2200_newchunks/imgs/chunk1329square.png,True,1.0
1335,1335,bat2_24june_2200_newchunks/imgs/chunk1335square.png,True,1.0
1336,1336,bat2_24june_2200_newchunks/imgs/chunk1336square.png,True,0.875
1360,1360,bat2_24june_2200_newchunks/imgs/chunk1360square.png,True,1.0
1417,1417,bat2_24june_2200_newchunks/imgs/chunk1417square.png,True,0.949219
